raw_time,MAPE_tuned,MAPE_without_tuned,1%_hit_rate_tuned,1%_hit_rate_without_tuned,5%_hit_rate_tuned,5%_hit_rate_without_tuned,10%_hit_rate_tuned,10%_hit_rate_without_tuned,15%_hit_rate_tuned,15%_hit_rate_without_tuned,20%_hit_rate_tuned,20%_hit_rate_without_tuned
10802,0.0038032207733473804,0.005689458861885908,0.927038626609442,0.8454935622317596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10803,0.0036239187122622785,0.006144675547072881,0.9409448818897638,0.8208661417322834,0.9980314960629921,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10804,0.003454905404720081,0.006110963811438315,0.9555084745762712,0.815677966101695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10805,0.0034319638772847653,0.005918713477338296,0.9534883720930233,0.8430232558139535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10806,0.0033065602006757044,0.005398541397395297,0.9623352165725048,0.8549905838041432,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10807,0.003503822733507411,0.0056682550421717735,0.963855421686747,0.8433734939759037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10808,0.0034132566428279206,0.0058234805619273924,0.9413265306122449,0.8392857142857143,1.0,0.9974489795918368,1.0,1.0,1.0,1.0,1.0,1.0
10809,0.003093117798378845,0.005527938421172345,0.9572301425661914,0.8472505091649695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10810,0.003222463474376586,0.005545081633876511,0.9625984251968503,0.8366141732283464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10811,0.0033277948066816,0.005710287940772814,0.9464668094218416,0.8308351177730193,1.0,0.9978586723768736,1.0,1.0,1.0,1.0,1.0,1.0
10812,0.0031500342141874754,0.005443205926403756,0.9613259668508287,0.8637200736648251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10901,0.0034194245320521943,0.005891465696028014,0.9515669515669516,0.8404558404558404,1.0,0.9971509971509972,1.0,1.0,1.0,1.0,1.0,1.0
10902,0.0034941411325270766,0.0063438992528390805,0.9515669515669516,0.792022792022792,1.0,0.9971509971509972,1.0,1.0,1.0,1.0,1.0,1.0
10903,0.0037114535189875803,0.0062358263471408775,0.9447004608294931,0.7995391705069125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10904,0.0035848096842279993,0.006199155812695693,0.9502487562189055,0.8134328358208955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10905,0.002980621424391336,0.005128333162709363,0.9715302491103203,0.8754448398576512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10906,0.003290300674711195,0.005553109083386791,0.9588607594936709,0.8401898734177216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10907,0.003335510691395107,0.005358719017971252,0.9436619718309859,0.8560250391236307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10908,0.003184947491632008,0.0053166592326995,0.9612403100775194,0.8511627906976744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10909,0.0033047273574169263,0.005766819809567308,0.9547101449275363,0.8278985507246377,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10910,0.0033848460437495755,0.005853985150276978,0.9554794520547946,0.8321917808219178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10911,0.00347677601374199,0.005916722715644087,0.9590443686006825,0.8327645051194539,0.9982935153583617,0.9965870307167235,1.0,1.0,1.0,1.0,1.0,1.0
10912,0.0030997970091403136,0.005674755475080834,0.961038961038961,0.8409090909090909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11001,0.0032135234403930656,0.005783453455322445,0.9618473895582329,0.8232931726907631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11002,0.003232763799766579,0.005502554639751612,0.9607843137254902,0.8487394957983193,1.0,0.9971988795518207,1.0,1.0,1.0,1.0,1.0,1.0
11003,0.003029612315440262,0.005386027984704904,0.9726247987117552,0.856682769726248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11004,0.0030785432268934172,0.005849607603075937,0.9701726844583988,0.8414442700156985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
